"N_bikes" "temperature" "feels_like" "humidity" "wind_speed" "holiday" "weekend" "season"
"1" 23970 14.6875 14.6875 82.0416666666667 13.5833333333333 0 0 2
"2" 21461 8.29166666666667 6.41666666666667 80.1041666666667 12.6041666666667 0 0 3
"3" 18986 11.5625 11.1458333333333 80.125 22.8958333333333 0 1 0
"4" 39050 15.8958333333333 15.8333333333333 70.1666666666667 14.3333333333333 0 0 1
"5" 24618 10.7708333333333 10.2083333333333 85.25 14.125 0 0 2
"6" 16336 8.125 5.35416666666667 69.8125 27.25 0 1 2
"7" 24503 15.1666666666667 15.1666666666667 87.4375 14.3333333333333 0 0 2
"8" 22106 9.625 7.39583333333333 64.5625 26.3333333333333 0 0 0
"9" 38430 16.2291666666667 16.2291666666667 59.1041666666667 14.4375 0 0 1
"10" 19581 6.33333333333333 4.97916666666667 85.5 7.83333333333333 0 1 2
"11" 16034 15.8541666666667 15.8541666666667 75.4166666666667 11.4583333333333 0 0 1
"12" 37311 16.4791666666667 16.4791666666667 68.1458333333333 15.9166666666667 0 0 1
"13" 12398 15.4583333333333 15.4583333333333 77.625 16.25 0 1 1
"14" 36145 15.9375 15.9375 60.2083333333333 14.8541666666667 0 0 1
"15" 17193 6.77083333333333 3.77083333333333 76.5625 16.7708333333333 0 0 2
"16" 22663 5.79166666666667 2.54166666666667 66.2291666666667 17.4583333333333 0 0 3
"17" 41272 20.8125 20.8125 61.875 11.1041666666667 0 0 1
"18" 23680 5.04166666666667 3.16666666666667 77.4375 7.64583333333333 0 0 3
"19" 35402 19.8333333333333 19.8333333333333 68.25 17.625 0 0 1
"20" 25592 8 6.47916666666667 66.1666666666667 11.9166666666667 0 0 0
"21" 30489 11.6875 10.8958333333333 66.9583333333333 19.625 0 0 0
"22" 19736 8.41666666666667 6.66666666666667 67.8125 11.6041666666667 0 1 0
"23" 16381 6.04166666666667 4.0625 89.7083333333333 9.75 0 0 3
"24" 25439 9.25 7.77083333333333 73.5833333333333 13.3541666666667 1 0 0
"25" 24852 19.9375 19.9375 89.9583333333333 10.6041666666667 0 0 1
"26" 20635 6.3125 1.79166666666667 72.1875 31 0 0 0
"27" 25706 19.125 19.125 64.25 15.3333333333333 0 1 1
"28" 14025 8.23913043478261 4.58695652173913 71 27.4130434782609 0 1 3
"29" 39306 19.9166666666667 19.9166666666667 65.4791666666667 22.0416666666667 0 0 1
"30" 33673 11.9583333333333 11.7083333333333 69.9583333333333 18.625 0 0 2
"31" 26373 15.9375 15.9375 74.0625 19.25 0 1 0
"32" 20305 8.41666666666667 6.1875 70.375 20.8333333333333 0 0 0
"33" 23606 12.7708333333333 12.6041666666667 68.125 34.9375 0 0 3
"34" 34302 12.1875 11.9583333333333 58.2708333333333 12.3958333333333 0 1 0
"35" 23517 11.2916666666667 10.5416666666667 83.6666666666667 20.7291666666667 0 0 2
"36" 29557 14.6875 14.6875 70.8541666666667 20.9166666666667 0 0 1
"37" 27730 16.7708333333333 16.7708333333333 73.2916666666667 22.2708333333333 0 0 1
"38" 26885 7.58333333333333 6.39583333333333 59.0833333333333 8.64583333333333 0 1 0
"39" 38262 22.2916666666667 22.2916666666667 64.5625 15.2083333333333 0 0 1
"40" 14423 7.3125 5.10416666666667 88.6875 12.375 0 1 3
"41" 26023 12.375 12.375 64.0416666666667 22.2083333333333 0 0 0
"42" 26147 4.75 2.10416666666667 73.9583333333333 11.1041666666667 0 0 2
"43" 18101 6.14583333333333 2.95833333333333 66.9791666666667 17.9583333333333 0 1 0
"44" 7195 10.5 9.39583333333333 87.0208333333333 21.6041666666667 0 1 3
"45" 39611 19.9166666666667 19.875 63.6666666666667 17.4583333333333 0 0 1
"46" 36699 13.75 13.3541666666667 56.4791666666667 11.6666666666667 0 0 0
"47" 18700 7.64583333333333 4.66666666666667 85.2916666666667 18.875 0 0 2
"48" 24896 7.5 5.20833333333333 65.2708333333333 16.6875 0 0 0
"49" 25852 8.9375 8.04166666666667 68.6875 10.8333333333333 0 0 0
"50" 31621 10.75 9.4375 57.75 18.2916666666667 0 0 0
"51" 22231 9.75 8.4375 74.5208333333333 21.0625 0 1 0
"52" 14409 9.91666666666667 8.875 84.6666666666667 21.2916666666667 0 0 3
"53" 34461 12.7083333333333 12.6666666666667 89.2916666666667 6.4375 0 0 2
"54" 21932 9.4375 8.375 79.875 9.22916666666667 0 0 2
"55" 22682 9.0625 7.125 66.3541666666667 14.8125 0 0 0
"56" 32554 19.0416666666667 19.0416666666667 81.375 13.8125 0 0 1
"57" 34914 10.875 10.5625 75.2291666666667 7.91666666666667 0 0 2
"58" 9639 15.4791666666667 15.4791666666667 89.5416666666667 10.4375 1 0 1
"59" 31962 11.7083333333333 10.8541666666667 54.375 14.6458333333333 0 0 0
"60" 13889 9.52083333333333 7.22916666666667 69.3125 23.3958333333333 0 0 3
"61" 23517 5.27083333333333 2.5625 71.9583333333333 13.2083333333333 0 0 3
"62" 28629 14.875 14.875 81.9375 19.0833333333333 0 0 2
"63" 23849 14.6666666666667 14.6666666666667 68.9375 15.0208333333333 0 1 0
"64" 10662 6.3125 3.3125 82.2083333333333 16.3125 0 1 0
"65" 24010 11.8958333333333 11.3125 78.625 16.0416666666667 0 0 0
"66" 31762 12.5625 12.3541666666667 58.9166666666667 7.02083333333333 0 0 0
"67" 20533 8.875 7.04166666666667 82.5625 12.5 0 0 3
"68" 27439 13.0833333333333 13.0208333333333 79.8333333333333 22.6875 0 0 2
"69" 37915 19.3333333333333 19.2291666666667 60.9583333333333 17.75 0 0 1
"70" 22057 18.0625 18.0625 80.6875 20.375 0 0 1
"71" 16876 12.7291666666667 12.5208333333333 77.75 10.7916666666667 0 1 2
"72" 37472 15.8125 15.8125 60.4375 14.1041666666667 0 0 1
"73" 29112 16.6041666666667 16.6041666666667 71.1458333333333 19.2708333333333 0 1 1
"74" 27873 19.0208333333333 19.0208333333333 82.5208333333333 9.4375 0 0 2
"75" 25811 14.5 14.5 78.7708333333333 18.625 0 0 2
"76" 29899 14.7708333333333 14.7708333333333 71.7083333333333 20.3333333333333 0 0 2
"77" 36675 16.9583333333333 16.8958333333333 58.6458333333333 8.1875 0 0 1
"78" 38591 19.6458333333333 19.6458333333333 65.5416666666667 21.9166666666667 0 0 1
"79" 38687 17.875 17.875 57.25 18.0833333333333 0 0 1
"80" 11566 3.27083333333333 1.0625 98.6875 9 0 0 3
"81" 28048 11.6041666666667 11.1666666666667 68.7708333333333 9.72916666666667 0 0 0
"82" 24288 12.4166666666667 11.9791666666667 68.2916666666667 25.1041666666667 0 0 0
"83" 28366 12.7916666666667 12.7916666666667 83.4791666666667 16.3125 0 0 3
"84" 32587 13.6041666666667 13.5416666666667 63.8541666666667 13.5416666666667 0 0 1
"85" 40696 20.3958333333333 20.3958333333333 58.3541666666667 22.3958333333333 0 0 1
"86" 24371 17.9375 17.9375 70.0833333333333 26.2291666666667 0 1 1
"87" 35996 21.125 21.125 66.9166666666667 8.9375 0 0 1
"88" 13149 3.75 1.02083333333333 83.0208333333333 11.3125 0 1 3
"89" 34519 15.6458333333333 14.8958333333333 60.7708333333333 17.1666666666667 0 0 0
"90" 8908 10.9166666666667 9.89583333333333 68.3125 25.5625 0 0 3
"91" 25224 6.39583333333333 4.20833333333333 84.75 12.6875 0 0 0
"92" 21789 3.66666666666667 0.0625 75.4583333333333 16.3125 0 0 3
"93" 24149 8.04166666666667 5.72916666666667 74.2083333333333 18.2708333333333 0 0 0
"94" 24002 9.5 7.20833333333333 65.8125 26.4375 0 0 0
"95" 23908 5.04166666666667 2.72916666666667 74.9583333333333 11.1458333333333 0 0 2
"96" 31614 11.0833333333333 10.375 73.7916666666667 11.3125 0 0 0
"97" 44678 18.804347826087 18.7826086956522 55.4782608695652 10.7391304347826 0 1 1
"98" 28152 16.2083333333333 16.2083333333333 79.3333333333333 20.1041666666667 0 0 1
"99" 28734 14.2291666666667 14.2291666666667 76.1875 14.3333333333333 0 0 2
"100" 23688 7.1875 3.14583333333333 66.1458333333333 27 0 0 3
"101" 23115 11.5416666666667 11.375 77.8958333333333 22.4375 0 0 3
"102" 22186 4.47916666666667 -0.208333333333333 73.0208333333333 25.9375 0 0 3
"103" 23378 3.6875 1.1875 76.5833333333333 10.4583333333333 0 0 3
"104" 17903 7.20833333333333 4.39583333333333 72 16.1875 0 1 0
"105" 23881 13.5833333333333 13.5833333333333 84.7708333333333 10.875 0 0 2
"106" 26231 3.625 2.0625 90.5 7 0 0 3
"107" 30579 10.4791666666667 9.8125 75.0416666666667 13.5 0 0 2
"108" 25000 6.95833333333333 4.14583333333333 72.375 15.2916666666667 0 0 3
"109" 25974 18.9375 18.9375 83.8958333333333 15.1458333333333 0 0 1
"110" 30489 9.27083333333333 8.375 55.5833333333333 10.4791666666667 0 0 0
"111" 15268 3.79166666666667 0.5625 75.1041666666667 13.5833333333333 0 1 3
"112" 22258 6.0625 1.72916666666667 62.8125 28.3125 0 0 0
"113" 20434 12.4166666666667 12.4166666666667 83.1458333333333 12.5625 0 0 2
"114" 29150 8.66666666666667 8.20833333333333 65.0625 6 0 0 0
"115" 34774 15.375 15.375 69.1041666666667 10.4791666666667 0 0 2
"116" 35674 15.9791666666667 15.9791666666667 67 20.2291666666667 0 0 0
"117" 18653 13.75 13.75 89.6666666666667 13.4166666666667 0 0 2
"118" 13451 5.0625 1.375 64.2916666666667 19.6041666666667 0 1 3
"119" 37629 22.1875 22.1875 79.2916666666667 10.3333333333333 0 0 2
"120" 30075 12.5 12.5 78.5625 16.4791666666667 0 0 2
"121" 25252 10.6666666666667 8.83333333333333 66 27.9375 0 0 2
"122" 12428 2.16666666666667 0.0208333333333333 97.2291666666667 7.39583333333333 0 0 3
